candidate_id,pool_seed,heldout_corner,cell_type,input_arc,Wn_um,L_um,Wp_Wn_ratio,Vdd,Temp,Cload_fF,slew_ps,corner
0,0,ff,INV,I_to_Z,1.400244019001136,0.28,1.5058827248841684,1.7470008603795217,-18.3256827744417,42.83041837440507,87.22735771531502,ff
1,0,ff,INV,I_to_Z,4.975392891693577,0.28,2.6923732989766154,1.8054521180124594,97.82817398658217,26.592074949086598,40.76162221685756,ff
2,0,ff,INV,I_to_Z,1.5177755603934469,0.28,2.5890781797183666,1.670627836040331,-6.145468492398795,94.31890904317403,258.5380418517133,ff
3,0,ff,INV,I_to_Z,3.3369204984144947,0.28,1.7287225218165445,1.7715102242095364,87.84436739178275,37.67901062460033,56.06621330711283,ff
4,0,ff,INV,I_to_Z,4.679121634247998,0.28,2.050690265036053,1.6521466798775297,71.30363934637124,62.834103675040794,184.5816228379235,ff
5,0,ff,INV,I_to_Z,1.860223458139413,0.28,1.9338555278264735,1.8257037268259304,66.25170892571882,38.93620398071263,482.820487207788,ff
6,0,ff,INV,I_to_Z,3.7356438778995824,0.28,2.6503940902004297,1.9680807861189369,50.77647697351077,75.98247042848931,116.90410628350087,ff
7,0,ff,INV,I_to_Z,1.1729615784258427,0.28,2.927726350453336,1.9041778346280784,77.62961471275162,2.824140269712446,209.0980481683664,ff
8,0,ff,INV,I_to_Z,1.0327994869950716,0.28,2.49816247997182,1.932339307023355,31.290768470668922,18.409571915909535,286.61245418568046,ff
9,0,ff,INV,I_to_Z,0.5881281812274117,0.28,1.6642535874314632,1.9143377819660352,91.26793260827,89.10620531259906,149.48049981576943,ff
10,0,ff,INV,I_to_Z,1.7072026410882066,0.28,2.33671856497015,1.732967569141048,38.27812932385562,8.320069358571441,170.08969610103335,ff
11,0,ff,INV,I_to_Z,3.9757396929300834,0.28,2.21357799371193,1.790949327197916,26.88677642265992,15.229214596540729,434.94548682375046,ff
12,0,ff,INV,I_to_Z,3.144133709588701,0.28,2.8100099416787128,1.6935860256729454,-14.621578420154403,97.57800466599299,30.066014179784982,ff
13,0,ff,INV,I_to_Z,0.7447887269917207,0.28,2.823591651298844,1.8783169324398479,-1.179777237611848,49.26240516558872,314.36489011733,ff
14,0,ff,INV,I_to_Z,2.507891342069599,0.28,1.7698620961335658,1.6389462056796686,58.22356721107539,9.494982089373753,396.597167186107,ff
